strategy,model,threshold,cal_accuracy,cal_recall,cal_f1,test_accuracy,test_recall,test_f1,test_precision,test_auc,test_min_acc_rec_f1,meets_0_90_all,n_features,blend_members,blend_weights
S9b_RF_importance_k25,CAT_bal,0.51,0.688662593346911,0.7387489385791113,0.6947956874750433,0.6887983706720978,0.7354939145202377,0.6939511283215383,0.656850353892821,0.7602393323138177,0.6887983706720978,False,25,,
S9b_RF_importance_k30,LR_bal,0.48,0.6906313645621182,0.7536088310217945,0.7003353718682186,0.6860149355057705,0.7451174639116898,0.6948201913559882,0.6508839164297193,0.7567815524901805,0.6860149355057705,False,30,,
S9b_RF_importance_k30,RF_bal,0.505,0.6883910386965377,0.731106708180017,0.6924004825090471,0.6890699253224711,0.731106708180017,0.6928648068669528,0.6584246749936273,0.7588496612907705,0.6890699253224711,False,30,,
S9b_RF_importance_k30,XGB_bal,0.495,0.6923964697895452,0.7654967449759411,0.7048016157404391,0.6909708078750849,0.7633739031984149,0.7032594524119948,0.6519216823785352,0.764431372381016,0.6909708078750849,False,30,,
S9b_RF_importance_k30,LGBM_bal,0.465,0.6910386965376782,0.7988961222756864,0.7127075310902089,0.6879158180583842,0.7988961222756864,0.7106439227040977,0.6399501190341231,0.7630101246405054,0.6879158180583842,False,30,,
S9b_RF_importance_k30,CAT_bal,0.485,0.6928716904276986,0.7892725728842344,0.7114427860696517,0.6921249151391717,0.7853099348995188,0.7099085268342609,0.6477179876269406,0.7651876809290512,0.6921249151391717,False,30,,
S10_robust_scaler,LR_bal,0.475,0.6857433808553971,0.7697424285309935,0.7014896498355582,0.6831636116768499,0.7625247664874045,0.6977918798160979,0.6431896860451235,0.7545151197448218,0.6831636116768499,False,29,,
S10_robust_scaler,RF_bal,0.485,0.6871690427698575,0.7596943107840363,0.6996871741397289,0.6864222674813306,0.7581375601471837,0.6987543207461032,0.6479980645941696,0.7562861304125078,0.6864222674813306,False,29,,
S10_robust_scaler,XGB_bal,0.51,0.6913102511880516,0.7454005094820266,0.6984947947748823,0.6947725729803123,0.748938579111237,0.7018567639257295,0.6603443973047167,0.7636439487634336,0.6947725729803123,False,29,,
S10_robust_scaler,LGBM_bal,0.52,0.6885268160217244,0.7178035663741863,0.6885691012761336,0.6916496945010183,0.7272855929804699,0.6935222672064777,0.6627547072478721,0.7621775333908092,0.6916496945010183,False,29,,
S10_robust_scaler,CAT_bal,0.505,0.6936184657162254,0.7571469006510048,0.7033458226516794,0.6945689069925323,0.7612510614208887,0.7051189617880317,0.6566963740691002,0.7656768615268978,0.6945689069925323,False,29,,
S11_minmax_scaler,LR_bal,0.485,0.690020366598778,0.7475233512595528,0.6982154659616656,0.6870332654446707,0.7401641664307954,0.6940942269409422,0.6534232883558221,0.7565096603334975,0.6870332654446707,False,29,,
S11_minmax_scaler,RF_bal,0.49,0.6839103869653768,0.748938579111237,0.694488188976378,0.6858791581805839,0.7540333993772997,0.6972453052411176,0.6484118291347207,0.757563565594186,0.6858791581805839,False,29,,
S11_minmax_scaler,XGB_bal,0.495,0.6922606924643585,0.7701669968864987,0.7059739248881105,0.694908350305499,0.7703085196716671,0.7078023407022107,0.6546788549434689,0.7643048439201634,0.694908350305499,False,29,,
S11_minmax_scaler,LGBM_bal,0.48,0.6908350305498981,0.7803566374186244,0.7077396996534463,0.6896809232858113,0.7786583639966035,0.7065168539325842,0.6466094723234223,0.7631011062118161,0.6896809232858113,False,29,,
S11_minmax_scaler,CAT_bal,0.49,0.6941615750169722,0.7813472969148033,0.7102334855599151,0.6930753564154786,0.7814888196999717,0.7095406360424028,0.6497234968819862,0.7647757986582813,0.6930753564154786,False,29,,
S12_no_outlier_clipping,LR_bal,0.485,0.6909708078750849,0.7451174639116898,0.6981832648189895,0.6868295994568907,0.7387489385791113,0.6935494585796851,0.6535620383122575,0.7566002725864751,0.6868295994568907,False,29,,
